# Number of samples; Number of centroids; List of samples; List of centroids
3 10000
-0.031860 -0.010650 -0.022595 
0.671729 0.684594 0.565090 
0.877111 0.200886 0.990525 
1.568732 0.869197 1.560914 
0.292013 0.148195 0.689971 
1.024852 0.862544 1.302517 
1.192806 0.355416 1.688059 
1.883498 1.030949 2.267891 
0.198311 0.681015 0.764584 
0.879966 1.343269 1.340495 
1.069336 0.869123 1.744259 
1.734228 1.528922 2.279546 
0.514480 0.859265 1.472133 
1.196798 1.532653 2.056925 
1.369303 1.039508 2.438678 
2.092711 1.702770 3.039531 
0.550502 0.128515 0.019358 
1.257281 0.822795 0.631142 
1.429086 0.299176 1.009459 
2.094843 0.990134 1.588473 
0.906826 0.325720 0.784691 
1.583311 0.994939 1.345563 
1.724694 0.471095 1.703672 
2.439915 1.155588 2.289659 
0.778141 0.820136 0.824887 
1.457232 1.501922 1.403437 
1.631817 1.017792 1.779485 
2.317671 1.681049 2.348568 
1.105762 0.998263 1.552207 
1.793238 1.710225 2.138457 
1.953076 1.204917 2.513799 
2.650163 1.863946 3.079647 
0.387240 0.254532 0.493103 
1.036352 0.911704 1.019092 
1.208093 0.407615 1.417735 
1.934038 1.118863 2.039037 
0.701188 0.413579 1.190922 
1.382317 1.116968 1.789370 
1.566792 0.614815 2.185151 
2.250332 1.255375 2.733380 
0.563774 0.898803 1.242781 
1.255969 1.604419 1.824449 
1.433590 1.112086 2.219629 
2.113995 1.746830 2.773569 
0.883149 1.094901 1.959045 
1.559277 1.757161 2.523349 
1.743021 1.274934 2.906981 
2.440328 1.943553 3.481893 
0.943467 0.390647 0.551140 
1.584648 1.003086 1.069884 
1.784411 0.558774 1.493730 
2.480252 1.236695 2.077685 
1.253288 0.587067 1.248627 
1.976986 1.251705 1.867879 
2.114467 0.718779 2.214089 
2.803965 1.385714 2.780432 
1.128990 1.054866 1.280359 
1.812771 1.732587 1.880284 
1.983392 1.228098 2.231425 
2.668846 1.895983 2.831399 
1.464576 1.254134 2.022807 
2.140229 1.913004 2.585814 
2.305725 1.428057 2.970459 
2.979636 2.078559 3.534443 
0.173495 0.671630 0.353476 
0.841094 1.327895 0.917218 
1.030728 0.858601 1.319718 
1.683492 1.481431 1.859413 
0.497775 0.855771 1.082072 
1.191350 1.547817 1.673532 
1.343300 1.047216 2.062322 
2.009695 1.681023 2.585867 
0.368655 1.352310 1.141247 
1.049160 2.024951 1.688534 
1.224640 1.517434 2.075002 
1.863752 2.153384 2.607106 
0.674125 1.504109 1.805526 
1.382004 2.202501 2.425486 
1.562282 1.723921 2.793793 
2.204288 2.350165 3.346265 
0.723655 0.800217 0.395482 
1.400821 1.456047 0.951212 
1.615109 0.991237 1.389303 
2.259423 1.638903 1.931986 
1.077111 0.994188 1.152206 
1.720468 1.614265 1.666691 
1.918689 1.182008 2.087264 
2.598033 1.848136 2.673089 
0.922037 1.465990 1.145004 
1.606159 2.115247 1.701914 
1.801172 1.668316 2.118265 
2.476868 2.346903 2.710908 
1.250974 1.626379 1.877797 
1.941792 2.336139 2.456195 
2.108990 1.813549 2.826468 
2.803908 2.538742 3.434498 
0.535214 0.929939 0.856946 
1.216390 1.590046 1.399324 
1.405835 1.090504 1.792755 
2.080112 1.777198 2.355546 
0.848720 1.092997 1.557608 
1.557774 1.774934 2.136185 
1.710691 1.264621 2.503014 
2.407087 1.956235 3.098442 
0.724503 1.572288 1.585688 
1.400004 2.232160 2.150316 
1.576505 1.769156 2.548544 
2.255440 2.417728 3.109601 
1.028331 1.749011 2.303552 
1.728053 2.431585 2.864423 
1.907242 1.969123 3.288354 
2.607424 2.634350 3.876354 
1.098087 1.046046 0.882928 
1.782009 1.714231 1.456799 
1.945695 1.238404 1.835546 
2.649874 1.876437 2.409824 
1.403697 1.208330 1.583803 
2.129627 1.910169 2.196469 
2.281116 1.397409 2.566789 
2.981287 2.118588 3.163451 
1.278708 1.707540 1.633074 
1.950035 2.389795 2.203491 
2.140160 1.897331 2.590347 
2.845488 2.579893 3.185341 
1.593900 1.888964 2.325544 
2.307059 2.566711 2.910399 
2.478949 2.073545 3.320414 
3.194510 2.756128 3.918718 
0.516685 0.881535 0.332490 
1.248541 1.601964 0.974906 
1.405303 1.071938 1.312543 
2.098909 1.749482 1.896784 
0.878265 1.082348 1.097908 
1.585172 1.772355 1.672322 
1.757015 1.269808 2.055732 
2.427511 1.955249 2.638564 
0.736617 1.574297 1.131393 
1.445406 2.250607 1.711236 
1.606495 1.763146 2.101760 
2.285780 2.419242 2.656889 
1.061692 1.752136 1.840859 
1.719151 2.407170 2.364376 
1.925445 1.948089 2.818889 
2.591205 2.587429 3.343802 
1.113136 1.037164 0.404703 
1.817300 1.740097 1.013900 
1.977402 1.224002 1.394486 
2.668058 1.867322 1.940174 
1.461229 1.212796 1.178056 
2.148729 1.935041 1.736987 
2.309085 1.423495 2.135139 
3.002813 2.059578 2.682490 
1.306400 1.733334 1.191528 
2.013437 2.398985 1.774610 
2.147895 1.899458 2.129526 
2.879647 2.581063 2.721576 
1.641119 1.900991 1.905595 
2.319376 2.588463 2.486329 
2.502756 2.081218 2.871064 
3.201438 2.773661 3.458656 
0.922347 1.146700 0.854420 
1.622017 1.829484 1.449594 
1.781442 1.326032 1.822458 
2.466637 2.016207 2.390517 
1.258493 1.343246 1.611632 
1.929691 2.013389 2.164876 
2.116966 1.522756 2.555290 
2.824195 2.199715 3.137917 
1.111693 1.813559 1.612636 
1.817255 2.512898 2.197292 
1.986025 2.025326 2.597143 
2.653698 2.700773 3.149176 
1.484186 2.027154 2.361144 
2.146550 2.721977 2.937776 
2.275086 2.153909 3.270543 
2.981349 2.832722 3.856560 
1.472582 1.263622 0.905694 
2.138696 1.916232 1.463215 
2.316907 1.441096 1.849091 
3.035334 2.141682 2.466481 
1.818349 1.477847 1.636213 
2.493323 2.140415 2.192395 
2.672392 1.654684 2.589901 
3.338447 2.278349 3.139496 
1.718437 2.011377 1.694557 
2.372812 2.627406 2.234797 
2.545268 2.151872 2.616448 
3.231016 2.812880 3.188931 
2.004159 2.151188 2.375871 
2.704890 2.816216 2.981442 
2.846117 2.291246 3.312558 
3.568800 3.013454 3.916212 
0.720825 1.561050 0.724546 
1.399000 2.241613 1.302731 
1.587621 1.743384 1.676932 
2.244326 2.399678 2.231551 
1.033421 1.754604 1.445572 
1.727431 2.436209 2.041629 
1.915680 1.949151 2.430606 
2.589542 2.609029 2.977263 
0.932830 2.251089 1.512564 
1.597904 2.927203 2.077119 
1.768237 2.405029 2.444000 
2.427409 3.084091 2.974030 
1.199197 2.396878 2.188128 
1.895033 3.077688 2.737579 
2.082358 2.596526 3.147606 
2.770583 3.270385 3.707439 
1.290337 1.710658 0.791342 
1.978883 2.422699 1.353765 
2.142667 1.883544 1.735195 
2.844611 2.580819 2.331075 
1.595799 1.862415 1.480079 
2.289548 2.554125 2.056571 
2.466043 2.064444 2.463419 
3.153539 2.751310 3.037020 
1.441546 2.364492 1.499069 
2.163101 3.049832 2.109628 
2.365498 2.594029 2.533488 
3.014494 3.224856 3.055189 
1.773353 2.535888 2.226258 
2.488593 3.253586 2.828442 
2.663820 2.755101 3.215934 
3.346668 3.434588 3.784072 
1.071542 1.763862 1.170612 
1.754913 2.516161 1.783287 
1.945810 1.993668 2.174218 
2.630488 2.659905 2.740500 
1.400298 1.988923 1.931666 
2.099268 2.676691 2.514368 
2.262493 2.152703 2.869190 
2.951649 2.843607 3.465136 
1.260504 2.491306 1.940158 
1.955694 3.175151 2.547770 
2.135585 2.649622 2.915344 
2.814662 3.341948 3.487521 
1.560005 2.620160 2.639794 
2.271825 3.331349 3.237509 
2.457112 2.843498 3.643433 
3.158930 3.526711 4.246390 
1.624573 1.953321 1.253631 
2.344269 2.627380 1.835145 
2.524545 2.141378 2.233701 
3.208676 2.814014 2.805570 
1.972763 2.127342 1.972302 
2.684376 2.832592 2.587640 
2.834720 2.329502 2.943699 
3.521052 2.967971 3.498615 
1.870435 2.620676 2.022662 
2.570834 3.330533 2.626673 
2.726629 2.840094 2.996088 
3.386462 3.496938 3.559752 
2.146747 2.800953 2.740148 
2.828508 3.459982 3.284736 
3.020016 2.962340 3.676992 
3.732827 3.691660 4.303121 
0.476658 0.133276 0.145919 
1.186812 0.796219 0.746016 
1.313149 0.279606 1.072853 
2.029938 0.942501 1.685165 
0.788388 0.278395 0.854124 
1.492777 0.963171 1.443748 
1.647119 0.484755 1.806352 
2.353326 1.155625 2.408672 
0.674540 0.772714 0.899666 
1.350893 1.475972 1.482031 
1.514833 0.946829 1.851168 
2.205591 1.620087 2.409947 
1.004717 0.958569 1.630546 
1.686613 1.651191 2.191981 
1.826222 1.138860 2.566747 
2.543341 1.819497 3.154048 
1.024653 0.251238 0.194669 
1.741309 0.943684 0.799331 
1.876236 0.420163 1.137560 
2.619468 1.130746 1.764180 
1.348386 0.408907 0.900738 
2.048441 1.106101 1.495155 
2.190035 0.566705 1.852778 
2.934712 1.293732 2.469713 
1.246898 0.927082 0.984636 
1.887460 1.581725 1.503464 
2.089932 1.077492 1.915752 
2.796452 1.787822 2.512296 
1.583113 1.132596 1.690517 
2.268658 1.786708 2.267885 
2.411560 1.265138 2.605617 
3.112935 1.942590 3.184715 
0.810594 0.337391 0.584155 
1.543203 1.022895 1.213614 
1.687779 0.488749 1.556051 
2.399102 1.183242 2.162580 
1.192399 0.569748 1.384272 
1.824682 1.192736 1.903115 
1.992738 0.712122 2.290533 
2.721379 1.386728 2.896036 
1.038873 1.060045 1.404403 
1.706144 1.690333 1.941106 
1.910587 1.228069 2.365091 
2.574266 1.879432 2.913067 
1.361980 1.226552 2.121519 
2.060182 1.866858 2.678671 
2.202624 1.381815 3.050287 
2.888673 2.039678 3.612657 
1.404249 0.503001 0.678726 
2.084375 1.135164 1.231935 
2.258449 0.646375 1.619714 
2.932611 1.335577 2.205277 
1.707164 0.641324 1.379622 
2.428809 1.332782 1.970601 
2.585977 0.873826 2.366312 
3.289702 1.524262 2.951118 
1.587583 1.134932 1.398679 
2.307907 1.838833 2.019995 
2.469887 1.351212 2.400080 
3.139289 2.031338 2.955794 
1.956909 1.369990 2.180051 
