# Number of samples; Number of centroids; List of samples; List of centroids
3 1000
-0.008326 -0.008232 0.006891 
-0.001556 -0.002886 1.020015 
-0.003005 1.004538 0.010454 
0.006562 0.994295 1.008196 
0.996598 -0.013027 -0.001871 
1.001451 0.004131 0.995110 
0.992865 1.002164 0.012753 
0.993120 0.991158 0.992309 
0.003049 -0.007259 -0.016461 
0.005763 0.007571 1.017118 
0.005963 1.010142 0.009380 
-0.002239 1.002600 1.000001 
0.998585 -0.030787 -0.010374 
0.998570 0.015362 0.993596 
0.997744 0.990595 -0.007391 
1.013403 1.006954 1.014268 
-0.004612 0.001558 -0.006017 
-0.003358 -0.002881 1.007355 
-0.006054 0.996829 0.005846 
0.004294 1.018752 1.006680 
0.984205 0.004507 -0.009837 
0.987534 -0.005320 1.007461 
0.997801 0.976978 -0.008727 
1.006104 0.996902 0.998376 
-0.008997 0.003182 -0.001224 
0.000242 0.000974 1.003388 
-0.011900 0.991207 -0.005218 
-0.001605 1.017136 0.996986 
0.997490 -0.011680 -0.006096 
0.989829 0.008484 1.015109 
1.006051 0.998282 -0.009197 
1.000117 1.006685 1.002438 
-0.000913 -0.006132 -0.006749 
-0.000362 -0.002334 0.978595 
-0.006192 0.994291 -0.016916 
0.007440 1.016045 0.996435 
0.995824 0.024589 -0.004211 
0.989934 0.018922 0.999584 
1.006583 0.994330 -0.003348 
0.980430 1.009057 0.997221 
-0.010674 0.000782 0.001061 
-0.004071 -0.009535 1.020138 
0.012552 0.989195 -0.002324 
0.003012 0.986529 0.998326 
1.016024 0.010129 0.002477 
0.981927 0.007624 0.986329 
0.977613 1.018507 -0.018450 
0.990108 1.006665 0.993473 
0.016327 0.001612 0.002963 
-0.017006 -0.001419 1.013912 
-0.017647 1.021168 0.007666 
0.008022 0.998903 0.998657 
0.995697 -0.007714 0.003294 
1.004810 -0.012422 0.994169 
0.974547 0.994296 0.006295 
0.981238 0.999885 0.983305 
0.005115 -0.001795 0.010664 
-0.009541 -0.000076 1.003021 
-0.005955 0.996614 0.011084 
0.006942 1.016168 0.998246 
0.988724 0.003102 -0.000279 
1.003022 0.015363 1.005638 
0.978420 1.000185 0.004101 
0.983821 0.980718 0.993290 
0.003577 -0.009650 -0.008050 
-0.003777 0.010165 0.988696 
0.001214 0.995902 -0.005537 
-0.001460 1.002929 1.003594 
0.990005 0.032592 -0.006333 
1.007376 -0.013568 0.997482 
1.012676 0.989880 0.001222 
1.005623 1.019278 0.991812 
-0.008084 0.020472 0.018763 
0.005512 0.011816 1.005310 
0.000435 0.980454 0.004245 
0.008126 0.998833 0.997413 
1.018465 0.015377 -0.001422 
0.993072 -0.004499 1.000289 
1.004450 0.995774 0.016431 
0.974382 1.005089 0.991160 
-0.005026 -0.008328 -0.008702 
0.009028 -0.004974 1.023434 
0.005919 1.007929 -0.009463 
-0.023614 0.987933 1.003999 
1.006498 0.013422 -0.018651 
1.023697 -0.003744 0.977090 
1.005988 0.995675 0.007439 
1.010588 0.983413 1.003301 
0.004275 0.002061 0.012948 
-0.005783 -0.001083 0.991984 
-0.007857 1.007393 -0.005974 
0.002989 1.000747 1.015550 
1.000137 -0.004092 0.003983 
1.015531 0.005123 1.009945 
0.989856 0.984421 -0.008583 
0.996779 1.002372 0.978237 
-0.010454 -0.003967 0.002611 
-0.002406 -0.030081 1.017522 
0.020964 1.017273 0.011702 
0.010327 0.994303 0.999365 
0.988698 -0.005227 0.001978 
0.998175 -0.010197 1.009912 
0.986546 1.005389 -0.005009 
0.995481 0.988211 0.998906 
-0.004583 0.012730 -0.008265 
-0.008725 0.001897 0.997236 
0.004596 1.000439 0.011820 
0.006178 1.007597 0.996174 
0.990347 0.001684 -0.009972 
1.008444 -0.004377 1.003895 
1.007714 1.011192 0.008698 
0.993132 0.985414 1.001248 
-0.015924 -0.014365 0.014268 
0.001893 0.003377 0.984492 
0.017741 0.978114 0.011737 
0.011798 1.002520 1.010335 
1.009482 0.004556 -0.007346 
1.004692 0.002406 0.988629 
0.984221 0.984848 -0.010066 
1.000610 1.001398 1.014627 
-0.008527 0.003678 -0.018864 
0.017070 0.010131 0.997407 
0.011961 1.002191 0.005708 
0.016809 1.012461 1.016953 
1.010167 0.006463 -0.006058 
1.003174 -0.004290 0.994117 
1.007596 1.010412 -0.012762 
1.000389 0.988550 1.009144 
0.002502 -0.000532 0.001799 
-0.007120 0.001219 0.976685 
-0.006662 0.991703 0.004619 
-0.020110 0.987451 1.000046 
1.007478 -0.021997 -0.014349 
1.003322 0.028227 1.010195 
1.002598 1.016946 0.025343 
0.998908 1.013087 0.993608 
0.004401 0.006453 0.012646 
-0.011723 -0.001256 0.998536 
0.011382 1.006158 0.010093 
-0.008684 0.999993 0.998721 
1.000102 0.011700 0.000002 
1.004297 -0.014035 1.004271 
0.997049 0.997279 0.012555 
1.004513 1.007921 0.996296 
-0.001687 -0.001011 0.007410 
0.002203 -0.017920 0.994621 
-0.012256 0.986215 -0.016092 
-0.002615 1.016797 1.003107 
0.995304 -0.001678 0.003300 
0.995558 -0.009070 1.001735 
0.990170 0.988965 -0.006299 
1.010118 0.998604 0.994437 
0.010184 0.008813 0.020989 
-0.019011 -0.006479 0.977928 
0.013189 0.987493 -0.014455 
-0.004797 0.984383 0.999076 
0.990829 0.018019 -0.014514 
0.994428 0.000937 1.005156 
1.011986 0.997833 0.006372 
1.003674 1.004217 0.988295 
0.009079 -0.001364 -0.006448 
0.010895 0.026448 1.004890 
0.011035 0.993596 -0.009170 
-0.005240 1.002090 0.996345 
0.992871 -0.000725 -0.007181 
1.005913 -0.007149 0.994769 
1.000205 1.014312 0.012325 
1.008676 1.009324 1.012556 
-0.003436 0.011291 -0.000160 
0.006975 -0.002322 1.001159 
