numDataPointsSeen estimatedNumClusters distanceCutoff numCentroids
1 320 0.007396 2
2 320 0.007396 3
3 320 0.007396 4
4 320 0.007396 5
5 320 0.007396 6
6 320 0.007396 7
7 320 0.007396 8
8 320 0.007396 9
9 320 0.007396 10
10 320 0.007396 11
11 320 0.007396 12
12 320 0.007396 13
13 320 0.007396 14
14 320 0.007396 15
15 320 0.007396 16
16 320 0.007396 17
17 320 0.007396 18
18 320 0.007396 19
19 320 0.007396 20
20 320 0.007396 21
21 320 0.007396 22
22 320 0.007396 23
23 320 0.007396 24
24 320 0.007396 25
25 320 0.007396 26
26 320 0.007396 27
27 320 0.007396 28
28 320 0.007396 29
29 320 0.007396 30
30 320 0.007396 31
31 320 0.007396 32
32 320 0.007396 33
33 320 0.007396 34
34 320 0.007396 35
35 320 0.007396 36
36 320 0.007396 37
37 320 0.007396 38
38 320 0.007396 39
39 320 0.007396 40
40 320 0.007396 41
41 320 0.007396 42
42 320 0.007396 43
43 320 0.007396 44
44 320 0.007396 45
45 320 0.007396 46
46 320 0.007396 47
47 320 0.007396 48
48 320 0.007396 49
49 320 0.007396 50
50 320 0.007396 51
51 320 0.007396 52
52 320 0.007396 53
53 320 0.007396 54
54 320 0.007396 55
55 320 0.007396 56
56 320 0.007396 57
57 320 0.007396 58
58 320 0.007396 59
59 320 0.007396 60
60 320 0.007396 61
61 320 0.007396 62
62 320 0.007396 63
63 320 0.007396 64
64 320 0.007396 65
65 320 0.007396 66
66 320 0.007396 67
67 320 0.007396 68
68 320 0.007396 69
69 320 0.007396 70
70 320 0.007396 71
71 320 0.007396 72
72 320 0.007396 73
73 320 0.007396 74
74 320 0.007396 75
75 320 0.007396 76
76 320 0.007396 77
77 320 0.007396 78
78 320 0.007396 79
79 320 0.007396 80
80 320 0.007396 81
81 320 0.007396 82
82 320 0.007396 83
83 320 0.007396 84
84 320 0.007396 85
85 320 0.007396 86
86 320 0.007396 87
87 320 0.007396 88
88 320 0.007396 89
89 320 0.007396 90
90 320 0.007396 91
91 320 0.007396 92
92 320 0.007396 93
93 320 0.007396 94
94 320 0.007396 95
95 320 0.007396 96
96 320 0.007396 97
97 320 0.007396 98
98 320 0.007396 99
99 320 0.007396 100
100 320 0.007396 101
101 320 0.007396 102
102 320 0.007396 103
103 320 0.007396 104
104 320 0.007396 105
105 320 0.007396 106
106 320 0.007396 107
