org.apache.mahout.knn.search.ProjectionSearch org.apache.mahout.common.distance.EuclideanDistanceMeasure
numDataPointsSeen estimatedNumClusters distanceCutoff numCentroids
1 128 0.010820 2
2 128 0.010820 3
3 128 0.010820 4
4 128 0.010820 5
5 128 0.010820 6
6 128 0.010820 7
7 128 0.010820 8
8 128 0.010820 9
9 128 0.010820 10
10 128 0.010820 11
11 128 0.010820 12
12 128 0.010820 13
13 128 0.010820 14
14 128 0.010820 15
15 128 0.010820 16
16 128 0.010820 17
17 128 0.010820 18
18 128 0.010820 19
19 128 0.010820 20
20 128 0.010820 21
21 128 0.010820 22
22 128 0.010820 23
23 128 0.010820 24
24 128 0.010820 25
25 128 0.010820 26
26 128 0.010820 27
27 128 0.010820 28
28 128 0.010820 29
29 128 0.010820 30
30 128 0.010820 31
31 128 0.010820 32
32 128 0.010820 33
33 128 0.010820 34
34 128 0.010820 35
35 128 0.010820 36
36 128 0.010820 37
37 128 0.010820 38
38 128 0.010820 39
39 128 0.010820 40
40 128 0.010820 41
41 128 0.010820 42
42 128 0.010820 43
43 128 0.010820 44
44 128 0.010820 45
45 128 0.010820 46
46 128 0.010820 47
47 128 0.010820 48
48 128 0.010820 49
49 128 0.010820 50
50 128 0.010820 51
51 128 0.010820 52
52 128 0.010820 53
53 128 0.010820 54
54 128 0.010820 55
55 128 0.010820 56
56 128 0.010820 57
57 128 0.010820 58
58 128 0.010820 59
59 128 0.010820 60
60 128 0.010820 61
61 128 0.010820 62
62 128 0.010820 63
63 128 0.010820 64
64 128 0.010820 65
65 128 0.010820 66
66 128 0.010820 67
67 128 0.010820 68
68 128 0.010820 69
69 128 0.010820 70
70 128 0.010820 71
71 128 0.010820 72
72 128 0.010820 73
73 128 0.010820 74
74 128 0.010820 75
75 128 0.010820 76
76 128 0.010820 77
77 128 0.010820 78
78 128 0.010820 79
79 128 0.010820 80
80 128 0.010820 81
81 128 0.010820 82
82 128 0.010820 83
83 128 0.010820 84
84 128 0.010820 85
85 128 0.010820 86
86 128 0.010820 87
87 128 0.010820 88
88 128 0.010820 89
89 128 0.010820 90
90 128 0.010820 91
91 128 0.010820 92
92 128 0.010820 93
93 128 0.010820 94
94 128 0.010820 95
95 128 0.010820 96
96 128 0.010820 97
97 128 0.010820 98
98 128 0.010820 99
99 128 0.010820 100
100 128 0.010820 101
101 128 0.010820 102
102 128 0.010820 103
103 128 0.010820 104
104 128 0.010820 105
105 128 0.010820 106
