org.apache.mahout.knn.search.ProjectionSearch org.apache.mahout.common.distance.EuclideanDistanceMeasure
numDataPointsSeen estimatedNumClusters distanceCutoff numCentroids
1 128 0.007170 2
2 128 0.007170 3
3 128 0.007170 4
4 128 0.007170 5
5 128 0.007170 6
6 128 0.007170 7
7 128 0.007170 8
8 128 0.007170 9
9 128 0.007170 10
10 128 0.007170 11
11 128 0.007170 12
12 128 0.007170 13
13 128 0.007170 14
14 128 0.007170 15
15 128 0.007170 16
16 128 0.007170 17
17 128 0.007170 18
18 128 0.007170 19
19 128 0.007170 20
20 128 0.007170 21
21 128 0.007170 22
22 128 0.007170 23
23 128 0.007170 24
24 128 0.007170 25
25 128 0.007170 26
26 128 0.007170 27
27 128 0.007170 28
28 128 0.007170 29
29 128 0.007170 30
30 128 0.007170 31
31 128 0.007170 32
32 128 0.007170 33
33 128 0.007170 34
34 128 0.007170 35
35 128 0.007170 36
36 128 0.007170 37
37 128 0.007170 38
38 128 0.007170 39
39 128 0.007170 40
40 128 0.007170 41
41 128 0.007170 42
42 128 0.007170 43
43 128 0.007170 44
44 128 0.007170 45
45 128 0.007170 46
46 128 0.007170 47
47 128 0.007170 48
48 128 0.007170 49
49 128 0.007170 50
50 128 0.007170 51
51 128 0.007170 52
52 128 0.007170 53
53 128 0.007170 54
54 128 0.007170 55
55 128 0.007170 56
56 128 0.007170 57
57 128 0.007170 58
58 128 0.007170 59
59 128 0.007170 60
60 128 0.007170 61
61 128 0.007170 62
62 128 0.007170 63
63 128 0.007170 64
64 128 0.007170 65
65 128 0.007170 66
66 128 0.007170 67
67 128 0.007170 68
68 128 0.007170 69
69 128 0.007170 70
70 128 0.007170 71
71 128 0.007170 72
72 128 0.007170 73
73 128 0.007170 74
74 128 0.007170 75
75 128 0.007170 76
76 128 0.007170 77
77 128 0.007170 78
78 128 0.007170 79
79 128 0.007170 80
80 128 0.007170 81
81 128 0.007170 82
82 128 0.007170 83
83 128 0.007170 84
84 128 0.007170 85
85 128 0.007170 86
86 128 0.007170 87
87 128 0.007170 88
88 128 0.007170 89
89 128 0.007170 90
90 128 0.007170 91
91 128 0.007170 92
92 128 0.007170 93
93 128 0.007170 94
94 128 0.007170 95
95 128 0.007170 96
96 128 0.007170 97
97 128 0.007170 98
98 128 0.007170 99
99 128 0.007170 100
100 128 0.007170 101
101 128 0.007170 102
102 128 0.007170 103
103 128 0.007170 104
104 128 0.007170 105
