org.apache.mahout.knn.search.ProjectionSearch org.apache.mahout.common.distance.EuclideanDistanceMeasure
numDataPointsSeen estimatedNumClusters distanceCutoff numCentroids
1 32 0.011663 2
2 32 0.011663 3
3 32 0.011663 4
4 32 0.011663 5
5 32 0.011663 6
6 32 0.011663 7
7 32 0.011663 8
8 32 0.011663 9
9 32 0.011663 10
10 32 0.011663 11
11 32 0.011663 12
12 32 0.011663 13
13 32 0.011663 14
14 32 0.011663 15
15 32 0.011663 16
16 32 0.011663 17
17 32 0.011663 18
18 32 0.011663 19
19 32 0.011663 20
20 32 0.011663 21
21 32 0.011663 22
22 32 0.011663 23
23 32 0.011663 24
24 32 0.011663 25
25 32 0.011663 26
26 32 0.011663 27
27 32 0.011663 28
28 32 0.011663 29
29 32 0.011663 30
30 32 0.011663 31
31 32 0.011663 32
32 32 0.011663 33
1 34 0.011663 2
1 34 0.011663 3
1 34 0.011663 4
1 34 0.011663 5
1 34 0.011663 6
1 34 0.011663 7
1 34 0.011663 8
1 34 0.011663 9
1 34 0.011663 10
1 34 0.011663 11
1 34 0.011663 12
1 34 0.011663 13
1 34 0.011663 14
1 34 0.011663 15
1 34 0.011663 16
1 34 0.011663 17
1 34 0.011663 18
1 34 0.011663 19
1 34 0.011663 20
1 34 0.011663 21
1 34 0.011663 22
1 34 0.011663 23
1 34 0.011663 24
1 34 0.011663 25
1 34 0.011663 26
1 34 0.011663 27
1 34 0.011663 28
1 34 0.011663 29
1 34 0.011663 30
1 34 0.011663 31
1 34 0.011663 32
1 34 0.011663 33
33 34 0.015162 34
34 34 0.015162 35
1 35 0.015162 2
1 35 0.015162 3
1 35 0.015162 4
1 35 0.015162 5
1 35 0.015162 6
1 35 0.015162 7
1 35 0.015162 8
1 35 0.015162 9
1 35 0.015162 10
1 35 0.015162 11
1 35 0.015162 12
1 35 0.015162 13
1 35 0.015162 14
1 35 0.015162 15
1 35 0.015162 16
1 35 0.015162 17
1 35 0.015162 18
1 35 0.015162 19
1 35 0.015162 20
1 35 0.015162 21
1 35 0.015162 22
1 35 0.015162 23
1 35 0.015162 24
1 35 0.015162 25
1 35 0.015162 26
1 35 0.015162 27
1 35 0.015162 28
1 35 0.015162 29
1 35 0.015162 30
1 35 0.015162 31
1 35 0.015162 32
1 35 0.015162 33
1 35 0.015162 34
1 35 0.015162 35
35 35 0.019711 36
1 35 0.019711 2
1 35 0.019711 3
1 35 0.019711 4
1 35 0.019711 5
1 35 0.019711 6
1 35 0.019711 7
1 35 0.019711 8
1 35 0.019711 9
